"id","name","hiragana","recipes_count"
4532,"鶏がらスープ","とりがらすーぷ",12
4542,"オイスターソース","おいすたーそーす",9
4552,"春雨","はるさめ",3
4562,"えのき茸","えのきだけ",2
4572,"竹の子","たけのこ",4
4582,"スープ","すーぷ",5
4592,"貝柱","かいばしら",1
4602,"ラー油","らーゆ",5
4612,"にら","にら",8
4622,"チャーシュー","ちゃーしゅー",2
4632,"カニかまぼこ","かにかまぼこ",1
4642,"豚ローススライス","ぶたろーすすらいす",1
4652,"たけのこ","たけのこ",4
4662,"麺","めん",2
4672,"小松菜","こまつな",3
4682,"ザーサイ","ざーさい",1
4692,"豚の挽き肉","ぶたのひきにく",1
4702,"甜面醤","てんめんじゃん",6
4712,"葱油","ねぎあぶら",1
4722,"芝麻醤","じーまーじゃん",3
4732,"中国醤油","ちゅうごくしょうゆ",1
4742,"中華だし","ちゅかだし",1
4752,"八角","はっかく",4
4762,"粒山椒","つぶさんしょう",1
4772,"紹興酒","しょうこうしゅ",10
4782,"氷砂糖","こおりざとう",1
4792,"チンゲン菜","ちんげんさい",1
4802,"葱姜水","つぉんじゃんすい",1
4812,"甜醤油","てんじゃんゆ",1
4822,"五香粉","うーしゃんふん",1
4832,"骨つきもも肉","ほねつきももにく",1
4842,"花椒","ほわじゃお",2
4852,"青じそ","あおじそ",1
4862,"中華めん","ちゅうかめん",1
4872,"焼き豚","やきぶた",1
4882,"くらげ","くらげ",1
4892,"さとう","さとう",95
4902,"えび","えび",14
4912,"いか","いか",6
4922,"おろししょうが","おろししょうが",5
4932,"テンメンジャン","てんめんじゃん",6
4942,"スプラウト","すぷらうと",2
4952,"あさり","あさり",8
4962,"白菜","はくさい",3
4972,"干ししいたけ","ほししいたけ",8
4982,"春巻きの皮","はるまきのかわ",1
4992,"清湯スープ","ちんたんすーぷ",1
5002,"きくらげ","きくらげ",3
5012,"絹ごし豆腐","きぬごしどうふ",1
5022,"四川辣椒粉","しせんぴんいん",1
5032,"厚揚げ","あつあげ",2
5042,"甜麺醤","てんめんじゃん",6
5052,"トウチ","とうち",1
5062,"ベーコンスライス","べーこんすらいす",2
5072,"ニラ","にら",8
5082,"もやし","もやし",3
5092,"老酒","らおちゅう",2
5102,"一味唐辛子","いちみとうがらし",1
5112,"イサキ","いさき",1
